LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
1048955,ProductFamily_StdStartQty,2,Std Start Qty,csi,표준 시작 수량
1048956,ProductFamily_StdStartQty2,2,Std Start Qty2,csi,표준 시작 수량2
1048957,ProductFamily_StdStartUOM,2,Std Start UOM,csi,표준 시작 UOM
1048958,ProductFamily_StdStartUOM2,2,Std Start UOM2,csi,표준 시작 UOM2
1048962,WorkCenter_DispatchMethod,2,Dispatch Method,csi,디스패치 방법
1048963,WorkCenter_FastQueueTime,2,Fast Queue Time,csi,빠른 대기 시간
1048967,WorkCenter_NormalQueueTime,2,Normal Queue Time,csi,정상 대기 시간
1048969,WorkCenter_WorkSchedule,2,Work Schedule,csi,작업 일정
1048970,Location_ChangeStatus,2,Change Status,csi,변경 상태
1048971,ObjectGroup_DefaultForObjectTypes,2,Default For Object Types,csi,개체 유형 기본값
1048973,SchedulingDetail_StdBatchSize,2,Std Batch Size,csi,표준 배치 크기
1048974,DisallowedTxns_DisallowAll,2,Disallow All,csi,모두 허용 안 함
1048975,DisallowedTxns_TxnName,2,Txn Name,csi,트랜잭션 이름
1048976,Operation_AutoAdjustLimit,2,Auto Adjust Limit,csi,자동 조정 제한
1048977,Operation_AutoAdjustReason,2,Auto Adjust Reason,csi,자동 조정 이유
1048979,Operation_InTransit,2,In Transit,csi,수송 중
1048980,Operation_OutsideServicePoint,2,Outside Service Point,csi,서비스 포인트 외부
1048986,OperationChanges_ShippingReasons,2,Shipping Reasons,csi,배송 이유
1048987,Operation_SummaryThruput,2,Summary Thruput,csi,요약 처리량
1048988,Operation_ThruputReportingLevel,2,Thruput Reporting Level,csi,처리량 보고 수준
1048994,ResourceStatusCode_NextTxnType,2,Next Txn Type,csi,다음 트랜잭션 유형
1048995,ResourceStatusCode_StatusReasons,2,Status Reasons,csi,상태 이유
1048996,MfgOrder_BeginProduct,2,Begin Product,csi,시작 제품
1049000,CurrentResourceStatus_Reason,2,Reason,csi,이유
1049001,ProductionStatus_AllowedProducts,2,Allowed Products,csi,허용된 제품
1049002,ProductionStatusChanges_CurrentSubcodeSetBy,2,Current Subcode Set By,csi,현재 하위 코드 설정한 사람
1049003,ProductionStatus_LastStatusChangeDate,2,Last Status Change Date,csi,마지막 상태 변경일
1049004,ProductionStatus_LastStatusChangeDateGMT,2,Last Status Change Date GMT,csi,마지막 상태 변경일(GMT)
1049005,ProductionStatus_LastThruputDate,2,Last Thruput Date,csi,마지막 처리량 날짜
1049006,ProductionStatus_LastThruputDateGMT,2,Last Thruput Date GMT,csi,마지막 처리량 날짜(GMT)
1049008,ProductionStatus_Setup,2,Setup,csi,설정
1049009,ProductionStatus_UpdateLastStatusChangeDate,2,Update Last Status Change Date,csi,마지막 상태 변경일 업데이트
1049012,MaterialListItemChanges_AllowSubstitution,2,Allow Substitutions,csi,대체 허용
1049014,Setup_StdSetupLaborTime,2,Std Setup Labor Time,csi,표준 설정 노동 시간
1049015,Setup_StdSetupTime,2,Std Setup Time,csi,표준 설정 시간
1049016,DataCollectionDef_ParametricDataDefType,2,Parametric Data Def,csi,매개변수 데이터 정의
1049018,TxnMap_Required,2,Required,csi,필수
1049019,TxnMap_TxnToUse,2,Txn To Use,csi,사용할 트랜잭션
1049021,Spec_MaxQueueTimeAction,2,Max Queue Time Action,csi,최대 대기 시간 동작
1049022,Spec_TxnMap,2,Data Collection Txn Map,csi,데이터 컬렉션 트랜잭션 맵
1049023,StepSchedulingDetail_ForwardCycleTime,2,Forward Cycle Time,csi,전달 사이클 시간
1049024,StepSchedulingDetail_ForwardYield,2,Forward Yield,csi,전달 수율
1049025,Bin_BinPercentage,2,Bin Percentage,csi,Bin 백분율
1049026,PathSelector_EffectiveFromDateGMT,2,Effective From Date GMT,csi,유효 기간 시작일(GMT)
1049027,PathSelector_EffectiveThruDate,2,Effective Thru Date,csi,유효 기간 종료일
1049028,PathSelector_EffectiveThruDateGMT,2,Effective Thru Date GMT,csi,유효 기간 종료일(GMT)
1049029,Bin_FromProduct,2,From Product,csi,시작 제품
1049030,PathSelector_Path,2,Path,csi,경로
1049031,Bin_ResultingProduct,2,Resulting Product,csi,결과 제품
1049032,Bin_Step,2,Step,csi,단계
1049033,Container_Spec,2,Spec,csi,사양
1049035,SubWorkflowStep_SubWorkflow,2,Sub Workflow,csi,하위 워크플로
1049039,ProductOption_EffectiveFrom,2,Effective From,csi,유효 기간 시작
1049040,ProductOption_EffectiveThru,2,Effective Thru,csi,유효 기간 종료
1049041,ProductOption_OptionPercentage,2,Option Percentage,csi,옵션 백분율
1049042,ProductOption_ToProduct,2,To Product,csi,종료 제품
1049043,GateStatus_Container,2,Container,csi,컨테이너
1049044,ReworkStatus_EndReworkStep,2,End Rework,csi,재작업 종료
1049048,GateStatus_CompletedSteps,2,Completed Steps,csi,완료된 단계
