LabelID,Name,CategoryID,LabelValue,WorkspaceCode,NewValue
16778161,Lbl_ChangeMgtSave,72,Change Mgt Save,csi,更改管理保存
16778162,Lbl_Off,72,Off,csi,关
16778163,Lbl_On,72,On,csi,开
16778164,Lbl_AssignSavedInstances,72,Set to assign saved instances,csi,设为指派已保存的实例
16778165,Lbl_ExpandAll,72,Expand All,csi,全部展开
16778166,Lbl_CollapseAll,72,Collapse All,csi,全部折叠
16778167,Lbl_CancelApprovalComments,72,Cancel Approval Comments,csi,取消审批备注
16778168,Lbl_IncludeAllinstances,72,Include <b>all</b> instances,csi,包含<b>所有</b>实例
16778169,Lbl_RemoveInstanceAssociation,72,Remove Instance Association,csi,移除实例关联
16778170,Lbl_Select,72,Select,csi,选择
16778171,Lbl_DateTo,72,Date To,csi,结束日期
16778172,Lbl_RouteforApprovalComments,72,Route for Approval Comments,csi,路由以审批备注
16778173,Lbl_CreateNameViaAutonumber,72,Create name via Autonumber,csi,通过自动编号创建名称
16778174,Lbl_StartingDayAt,72,starting at day,csi,起始日期:
16778175,Lbl_Every,72,Every,csi,每
16778176,Lbl_days,72,day(s),csi,天
16778177,Lbl_StartingHourAt,72,hour(s) starting at hour,csi,小时，开始时间:
16778178,Lbl_ApprovalCapture,72,Approval Capture,csi,审批捕获
16778179,Lbl_StatusNameHidden,72,StatusNameHidden,csi,StatusNameHidden
16778180,Lbl_Obj,72,Obj,csi,对象
16778181,Lbl_Inst,72,Inst,csi,实例
16778182,Lbl_LastEdit,72,Last Edit,csi,上次编辑
16778183,Lbl_ShowROR,72,Show ROR,csi,显示 ROR
16778184,Lbl_ShowActive,72,Show active,csi,显示活动的
16778185,Lbl_Signing,72,Signing,csi,签署
16778186,PackageInquiry_IsCollaborator,2,Is Collaborator,csi,是协同者
16778187,PackageInquiry_HasCollaboratorRole,2,Has Collaborator Role,csi,具有协同者角色
16778188,Lbl_WhereUsedExceedsLimit,72,The number of instances selected exceeds the Where Used limit. Reduce the number of instances selected.,csi,所选实例的数量超出“何处使用”限制。减少所选实例数。
16778189,Lbl_WhereUsedNoSettingsAssociated,72,No Change Management Settings is associated with current user.,csi,没有与当前用户关联的更改管理设置。
16778190,ChangeMgtApplication_MaxWhereUsedInstances,2,Maximum Where Used Instances,csi,最大何处使用实例数
16778191,Lbl_AssignAndReviewContent,72,Assign and Review Content,csi,指派和审核内容
16778192,Lbl_CollaboratorStatus,72,Collaborator Status,csi,协同者状态
16778193,Lbl_GridNavEditTitle,72,Edit selected row,csi,编辑所选行
16778194,Lbl_GridNavAddTitle,72,Add new row,csi,添加新行
16778195,Lbl_GridNavDelTitle,72,Delete selected row,csi,删除所选行
16778196,Lbl_GridNavSearchTitle,72,Find records,csi,查找记录
16778197,Lbl_SelectedDataTransferType,72,Selected Data Transfer Type,csi,所选数据传输类型
16778198,Lbl_InstructionTaskDetails,72,Instruction Task Details,csi,指示任务详细信息
16778199,Lbl_ComputationTaskDetails,72,Computation Task Details,csi,计算任务详细信息
16778200,Lbl_RecipeIssueItemTaskDetails,72,Recipe Issue Item Task Details,csi,配方分发项任务详细信息
16778201,Lbl_UserQueryMaintTestPopup,72,UserQueryMaintTestPopup,csi,UserQueryMaintTestPopup
16778202,Lbl_ObjectDataPointDetail,72,Object Data Point Detail,csi,对象数据点详细信息
16778203,LbL_ValueDataPointDetail,72,Value Data Point Detail,csi,值数据点详细信息
16778204,Lbl_UserQueryTest,72,User Query Test,csi,用户查询测试
16778205,Lbl_ViewableArea,72,Viewable Area,csi,可查看区域
16778206,Lbl_RemoveItem,72,Remove Item,csi,移除项
16778207,Lbl_ModifyElement,72,Modify Element,csi,修改元素
16778208,Lbl_ReworkPathDetails,72,Rework Path Details,csi,返工路径详细信息
16778209,Lbl_ChangeMgtPathDetails,72,Change Mgt Path Details,csi,更改管理路径详细信息
16778210,Lbl_ChangeMgtStepDetails,72,Change Mgt Step Details,csi,更改管理工步详细信息
16778211,Lbl_RequiredField,72,Required field {0} is not entered,csi,未输入必填字段：{0}
16778212,Lbl_AQLNoReasonCode,72,The AQL Reject Reason Group for the selected Sample Test does not contain any reason codes.  Please add reason codes to the Sample Test AQL Reject Reason Group,csi,所选样本测试的 AQL 拒绝原因组不包含任何原因代码。请向样本测试 AQL 拒绝原因组添加原因代码
16778213,Lbl_FieldDispositionQtyRequired,72,Field Disposition Qty is required.,csi,“处置数量”字段为必填字段。
16778214,Lbl_FieldDispositionRequired,72,Field Disposition is required.,csi,“处置”字段为必填字段。
16778215,Lbl_ExportData,72,Export Data,csi,导出数据
16778216,Lbl_MoveRow,72,Move Row,csi,移动行
16778217,Lbl_CSVExport,72,Export To CSV,csi,导出至 CSV
16778218,Lbl_ExcelExport,72,Export To Excel,csi,导出至 Excel
16778219,Lbl_AllRecOption,72,All Records,csi,所有记录
