2026-05-05T12:28:36  DCType - ID: 2350, Name: ServiceDetails, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 4751706, Name: LotTxnServiceDetails, ParentID: 2350, ParentName: ServiceDetails
2026-05-05T12:28:36  DCType - ID: 4751760, Name: WaferMapDetails, ParentID: 4751706, ParentName: LotTxnServiceDetails
2026-05-05T12:28:36  DCType - ID: 8510, Name: TargetDeploymentDetail, ParentID: 2350, ParentName: ServiceDetails
2026-05-05T12:28:36  DCType - ID: 8468, Name: TargetSystem, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:36  DCType - ID: 8503, Name: TargetSystemDetail, ParentID: 2350, ParentName: ServiceDetails
2026-05-05T12:28:36  DCType - ID: 8554, Name: ActivationInquiry, ParentID: 8546, ParentName: ChangePackageInquiry
2026-05-05T12:28:36  DCType - ID: 8628, Name: ContentChangeHistoryInquiry, ParentID: 8546, ParentName: ChangePackageInquiry
2026-05-05T12:28:36  DCType - ID: 8486, Name: ChangePackageHeader, ParentID: 1200, ParentName: ServiceData
2026-05-05T12:28:36  DCType - ID: 8504, Name: CPModelingInstanceDtl, ParentID: 2350, ParentName: ServiceDetails
2026-05-05T12:28:36  DCType - ID: 8547, Name: PackageInquiry, ParentID: 8546, ParentName: ChangePackageInquiry
2026-05-05T12:28:36  DCType - ID: 8599, Name: ChangePackageModelingInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 4726863, Name: CIOInquiry, ParentID: 1090, ParentName: Inquiry
2026-05-05T12:28:36  DCType - ID: 4726814, Name: CIOMessageMap, ParentID: 1050, ParentName: RevisionedObject
2026-05-05T12:28:36  DCType - ID: 4726815, Name: CIOTemplate, ParentID: 1050, ParentName: RevisionedObject
2026-05-05T12:28:36  DCType - ID: 4726841, Name: CIOMapDetails, ParentID: 1201, ParentName: NamedSubentity
2026-05-05T12:28:36  DCType - ID: 4726842, Name: CIOMapFunctions, ParentID: 1201, ParentName: NamedSubentity
2026-05-05T12:28:36  DCType - ID: 4726825, Name: CIOMapSource, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 4726823, Name: CIOIncludedMaps, ParentID: 1070, ParentName: Subentity
2026-05-05T12:28:36  DCType - ID: 4726794, Name: CIOMessageType, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:36  DCType - ID: 4726790, Name: CIODispatchRule, ParentID: 1020, ParentName: NamedDataObject
2026-05-05T12:28:36  DCType - ID: 4726834, Name: CIOAttribute, ParentID: 1201, ParentName: NamedSubentity
